GRB Name: 230506C, Detection Day: 17:09:19, Detection Time: 1167288, XRT RA Coordinates: 134.37108:57:29.0, Redshift: 45.13145:07:51.6
GRB Name: 230506B, Detection Day: 12:45:18, Detection Time: 1167266, XRT RA Coordinates: 326.98621:47:56.6, Redshift: 44.51444:30:50.4
GRB Name: 230427A, Detection Day: 10:31:52, Detection Time: 1165948, XRT RA Coordinates: 153.33910:13:21.4, Redshift: 48.23148:13:51.6
GRB Name: 230423A, Detection Day: 19:07:55, Detection Time: 1165354, XRT RA Coordinates: 122.61808:10:28.3, Redshift: -21.901-21:54:03.6
GRB Name: 230420A, Detection Day: 10:19:01, Detection Time: 1164980, XRT RA Coordinates: 161.04010:44:09.6, Redshift: 32.11132:06:39.6
GRB Name: 230414B, Detection Day: 16:14:21, Detection Time: 1164180, XRT RA Coordinates: 181.05212:04:12.5, Redshift: 53.17953:10:44.4
GRB Name: 230409B, Detection Day: 04:56:57, Detection Time: 1163401, XRT RA Coordinates: 329.51621:58:03.8, Redshift: 52.83252:49:55.2
GRB Name: 230405B, Detection Day: 19:58:03, Detection Time: 1163119, XRT RA Coordinates: 271.46718:05:52.1, Redshift: -47.070-47:04:12.0
GRB Name: 230328B, Detection Day: 14:54:48, Detection Time: 1162001, XRT RA Coordinates: 291.03719:24:08.9, Redshift: 80.01380:00:46.8
GRB Name: 230325A, Detection Day: 03:15:35, Detection Time: 1161390, XRT RA Coordinates: 296.85419:47:25.0, Redshift: -46.067-46:04:01.2
GRB Name: 230322B, Detection Day: 21:10:37, Detection Time: 1161127, XRT RA Coordinates: 16.55001:06:12.0, Redshift: -47.709-47:42:32.4
GRB Name: 230307A, Detection Day: 15:44:06, Detection Time: Fermi, XRT RA Coordinates: 54.103:36:24.0, Redshift: -76.6-76:36:00.0
GRB Name: 230228A, Detection Day: 05:50:50, Detection Time: 1156572, XRT RA Coordinates: 18.39701:13:35.3, Redshift: 44.49544:29:42.0
GRB Name: 230217A, Detection Day: 21:53:10, Detection Time: 1154967, XRT RA Coordinates: 280.75918:43:02.2, Redshift: -28.840-28:50:24.0
GRB Name: 230216A, Detection Day: 14:48:34, Detection Time: 1154815, XRT RA Coordinates: 113.96607:35:51.8, Redshift: -7.993-07:59:34.8
GRB Name: 230205A, Detection Day: 10:29:51, Detection Time: 1152764, XRT RA Coordinates: 202.05713:28:13.7, Redshift: 46.68646:41:09.6
GRB Name: 230204B, Detection Day: 21:47:51, Detection Time: MAXI, XRT RA Coordinates: 197.58113:10:19.4, Redshift: -21.752-21:45:07.2
GRB Name: 230204A, Detection Day: 02:56:57, Detection Time: 1152509, XRT RA Coordinates: 238.16615:52:39.8, Redshift: -50.848-50:50:52.8
GRB Name: 230123A, Detection Day: 10:19:44, Detection Time: 1150429, XRT RA Coordinates: 40.90502:43:37.2, Redshift: -65.661-65:39:39.6
GRB Name: 230116D, Detection Day: 21:04:43, Detection Time: 1149293, XRT RA Coordinates: 98.58406:34:20.2, Redshift: 49.83149:49:51.6
GRB Name: 230116C, Detection Day: 15:33:21, Detection Time: 1149250, XRT RA Coordinates: 223.46714:53:52.1, Redshift: -16.883-16:52:58.8
GRB Name: 221231A, Detection Day: 21:46:05, Detection Time: BAT/GUNAO, XRT RA Coordinates: 336.26022:25:02.4, Redshift: 25.13825:08:16.8
GRB Name: 221226B, Detection Day: 22:41:20, Detection Time: 1145959, XRT RA Coordinates: 22.90301:31:36.7, Redshift: -41.515-41:30:54.0
GRB Name: 221216A, Detection Day: 11:21:20, Detection Time: 1144698, XRT RA Coordinates: 326.02321:44:05.5, Redshift: -34.394-34:23:38.4
GRB Name: 221215A, Detection Day: 04:14:27, Detection Time: BAT/GUANO, XRT RA Coordinates: 155.05610:20:13.4, Redshift: 46.87346:52:22.8
GRB Name: 221206B, Detection Day: 12:22:47, Detection Time: BAT/GUANO, XRT RA Coordinates: 251.15516:44:37.2, Redshift: 42.67142:40:15.6
GRB Name: 221202A, Detection Day: 20:06:10, Detection Time: 1142997, XRT RA Coordinates: 77.00205:08:00.5, Redshift: -59.836-59:50:09.6
